"","State","FIPSCode","is_na_population_F1a","is_na_transmitted_C1a","is_na_submitted_C1b","is_na_rejected_C4b"
"1","AL",100100000,0,0,0,1
"2","AL",100300000,0,0,0,1
"3","AL",100500000,0,0,0,1
"4","AL",100700000,0,0,0,1
"5","AL",100900000,0,0,0,1
"6","AL",101100000,0,0,0,1
"7","AL",101300000,0,0,0,1
"8","AL",101500000,0,0,0,1
"9","AL",101700000,0,0,0,1
"10","AL",101900000,0,0,0,1
"11","AL",102100000,0,0,0,1
"12","AL",102300000,0,0,0,1
"13","AL",102500000,0,0,0,1
"14","AL",102700000,0,0,0,1
"15","AL",102900000,0,0,0,1
"16","AL",103100000,0,0,0,1
"17","AL",103300000,0,0,0,1
"18","AL",103500000,0,0,0,1
"19","AL",103700000,0,0,0,1
"20","AL",103900000,0,0,0,1
"21","AL",104100000,0,0,0,1
"22","AL",104300000,0,0,0,1
"23","AL",104500000,0,0,0,1
"24","AL",104700000,0,0,0,1
"25","AL",104900000,0,0,0,1
"26","AL",105100000,0,0,0,1
"27","AL",105300000,0,0,0,1
"28","AL",105500000,0,0,0,1
"29","AL",105700000,0,0,0,1
"30","AL",105900000,0,0,0,1
"31","AL",106100000,0,0,0,1
"32","AL",106300000,0,0,0,1
"33","AL",106500000,0,0,0,1
"34","AL",106700000,0,0,0,1
"35","AL",106900000,0,0,0,1
"36","AL",107100000,0,0,0,1
"37","AL",107300000,0,0,0,1
"38","AL",107500000,0,0,0,1
"39","AL",107700000,0,0,0,1
"40","AL",107900000,0,0,0,1
"41","AL",108100000,0,0,0,1
"42","AL",108300000,0,0,0,1
"43","AL",108500000,0,0,0,1
"44","AL",108700000,0,0,0,1
"45","AL",108900000,0,0,0,1
"46","AL",109100000,0,0,0,1
"47","AL",109300000,0,0,0,1
"48","AL",109500000,0,0,0,1
"49","AL",109700000,0,0,0,1
"50","AL",109900000,0,0,0,1
"51","AL",110100000,0,0,0,1
"52","AL",110300000,0,0,0,1
"53","AL",110500000,0,0,0,1
"54","AL",110700000,0,0,0,1
"55","AL",110900000,0,0,0,1
"56","AL",111100000,0,0,0,1
"57","AL",111300000,0,0,0,1
"58","AL",111500000,0,0,0,1
"59","AL",111700000,0,0,0,1
"60","AL",111900000,0,0,0,1
"61","AL",112100000,0,0,0,1
"62","AL",112300000,0,0,0,1
"63","AL",112500000,0,0,0,1
"64","AL",112700000,0,0,0,1
"65","AL",112900000,0,0,0,1
"66","AL",113100000,0,0,0,1
"67","AL",113300000,0,0,0,1
"68","AR",501300000,1,0,0,1
"69","AR",502500000,0,0,0,1
"70","AR",504100000,0,0,0,1
"71","AR",504300000,1,1,1,1
"72","AR",505300000,0,0,1,1
"73","AR",506300000,0,1,1,0
"74","AR",506700000,0,0,1,1
"75","AR",506900000,0,0,1,1
"76","AR",507500000,0,0,0,1
"77","AR",508500000,1,1,1,1
"78","AR",509500000,0,0,1,1
"79","AR",509900000,0,0,0,1
"80","AR",510100000,1,1,1,1
"81","AR",510500000,0,1,1,1
"82","AR",512300000,1,1,1,1
"83","AR",512700000,0,0,0,1
"84","AR",513500000,0,0,0,1
"85","AR",514500000,1,0,0,0
"86","CA",601700000,0,0,0,1
"87","CA",604500000,0,0,0,1
"88","HI",1500500000,1,1,1,1
"89","IL",1719300000,0,0,0,1
"90","ME",23,0,1,1,1
"91","ME",2300302760,1,1,1,1
"92","NM",3500300000,0,0,0,1
"93","NM",3500500000,0,0,0,1
"94","NM",3500600000,0,0,0,1
"95","NM",3500700000,0,0,0,1
"96","NM",3500900000,0,0,0,1
"97","NM",3501100000,0,0,0,1
"98","NM",3501900000,0,0,0,1
"99","NM",3503100000,0,0,0,1
"100","NM",3503300000,0,0,0,1
"101","NM",3504100000,0,0,0,1
"102","NM",3504500000,0,0,0,1
"103","NM",3504900000,0,0,0,1
"104","NM",3505100000,0,0,0,1
"105","NM",3505300000,0,0,0,1
"106","NM",3505900000,0,0,0,1
"107","NM",3506100000,0,0,0,1
"108","TX",4801700000,0,0,0,1
"109","TX",4801900000,0,0,1,1
"110","TX",4802100000,1,1,1,0
"111","TX",4802300000,1,1,1,1
"112","TX",4802700000,1,1,1,1
"113","TX",4803100000,1,1,1,1
"114","TX",4804300000,1,1,1,1
"115","TX",4806900000,1,1,1,1
"116","TX",4807100000,0,0,0,1
"117","TX",4807500000,0,0,0,1
"118","TX",4807700000,1,1,1,1
"119","TX",4807900000,1,1,1,1
"120","TX",4809500000,1,0,1,0
"121","TX",4810100000,0,0,0,1
"122","TX",4810300000,0,0,0,1
"123","TX",4810700000,1,1,1,1
"124","TX",4810900000,0,0,0,1
"125","TX",4811500000,1,1,1,1
"126","TX",4811700000,1,1,1,1
"127","TX",4811900000,1,1,1,1
"128","TX",4812500000,1,1,1,1
"129","TX",4812700000,1,1,1,1
"130","TX",4813500000,1,0,0,1
"131","TX",4814500000,1,1,1,1
"132","TX",4816100000,0,0,0,1
"133","TX",4816900000,0,0,0,1
"134","TX",4817700000,1,1,1,1
"135","TX",4817900000,0,0,0,1
"136","TX",4819100000,1,1,1,1
"137","TX",4819500000,1,1,1,1
"138","TX",4819900000,1,0,0,1
"139","TX",4821100000,0,0,0,1
"140","TX",4822300000,1,1,1,1
"141","TX",4822900000,1,1,1,1
"142","TX",4827100000,1,1,1,1
"143","TX",4827500000,1,1,1,1
"144","TX",4828100000,0,0,0,1
"145","TX",4829100000,1,1,1,1
"146","TX",4829500000,0,0,0,1
"147","TX",4829700000,1,1,1,1
"148","TX",4830700000,0,0,0,1
"149","TX",4831900000,0,0,0,1
"150","TX",4832500000,1,1,1,0
"151","TX",4833700000,1,1,1,1
"152","TX",4834300000,1,1,1,1
"153","TX",4834500000,1,1,1,1
"154","TX",4835500000,1,1,1,1
"155","TX",4835700000,1,1,1,1
"156","TX",4836900000,1,0,0,0
"157","TX",4837300000,0,0,0,1
"158","TX",4838700000,0,0,0,1
"159","TX",4839100000,0,0,0,1
"160","TX",4841100000,1,1,1,1
"161","TX",4841700000,0,0,0,1
"162","TX",4841900000,0,0,0,1
"163","TX",4842500000,0,0,0,1
"164","TX",4843500000,1,1,1,1
"165","TX",4844900000,1,1,1,1
"166","TX",4845500000,0,0,0,1
"167","TX",4847700000,0,0,0,1
"168","TX",4848100000,0,0,0,1
"169","TX",4848300000,1,1,1,1
"170","TX",4848500000,0,0,0,1
"171","TX",4848700000,0,1,1,1
"172","TX",4848900000,0,0,0,1
"173","TX",4850500000,1,1,1,1
"174","VI",7.8e+09,0,0,0,1
"175","VT",5000100325,0,0,1,1
"176","VT",5000108575,0,0,1,1
"177","VT",5000109025,0,0,1,1
"178","VT",5000116000,0,0,1,1
"179","VT",5000126275,0,0,1,1
"180","VT",5000128600,0,0,1,1
"181","VT",5000129575,0,0,1,1
"182","VT",5000131525,0,0,1,1
"183","VT",5000139325,0,0,1,1
"184","VT",5000140075,0,0,1,1
"185","VT",5000144350,0,0,1,1
"186","VT",5000145550,0,0,1,1
"187","VT",5000148700,0,0,1,1
"188","VT",5000153725,0,0,1,1
"189","VT",5000153950,0,0,1,1
"190","VT",5000159650,0,0,1,1
"191","VT",5000162575,0,0,1,1
"192","VT",5000165050,0,0,1,1
"193","VT",5000170075,0,0,1,1
"194","VT",5000174650,0,0,1,1
"195","VT",5000176075,0,0,1,1
"196","VT",5000183275,0,0,1,1
"197","VT",5000183800,0,0,1,1
"198","VT",5000301450,0,0,1,1
"199","VT",5000304825,0,0,1,1
"200","VT",5000317725,0,0,1,1
"201","VT",5000339025,0,0,1,1
"202","VT",5000342850,0,0,1,1
"203","VT",5000355000,0,0,1,1
"204","VT",5000357025,0,0,1,1
"205","VT",5000358600,0,0,1,1
"206","VT",5000361000,0,0,1,1
"207","VT",5000362875,0,0,1,1
"208","VT",5000363175,0,0,1,1
"209","VT",5000363550,0,0,1,1
"210","VT",5000369775,0,0,1,1
"211","VT",5000371425,0,0,1,1
"212","VT",5000385075,0,0,1,1
"213","VT",5000385675,0,0,1,1
"214","VT",5000502875,0,0,1,1
"215","VT",5000510450,0,0,1,1
"216","VT",5000517125,0,0,1,1
"217","VT",5000530550,0,0,1,1
"218","VT",5000531825,0,0,1,1
"219","VT",5000537900,0,0,1,1
"220","VT",5000541725,0,0,1,1
"221","VT",5000547725,0,0,1,1
"222","VT",5000554400,0,0,1,1
"223","VT",5000561525,0,0,1,1
"224","VT",5000562200,0,0,1,1
"225","VT",5000564075,0,0,1,1
"226","VT",5000569925,0,0,1,1
"227","VT",5000571575,0,0,1,1
"228","VT",5000575700,0,0,1,1
"229","VT",5000577125,0,0,1,1
"230","VT",5000583500,0,0,1,1
"231","VT",5000706550,0,0,1,1
"232","VT",5000710675,0,0,1,1
"233","VT",5000713300,0,0,1,1
"234","VT",5000714875,0,0,1,1
"235","VT",5000724175,0,0,1,1
"236","VT",5000733475,0,0,1,1
"237","VT",5000734600,0,0,1,1
"238","VT",5000736700,0,0,1,1
"239","VT",5000745250,0,0,1,1
"240","VT",5000759275,0,0,1,1
"241","VT",5000762050,0,0,1,1
"242","VT",5000764300,0,0,1,1
"243","VT",5000766175,0,0,1,1
"244","VT",5000773975,0,0,1,1
"245","VT",5000780350,0,0,1,1
"246","VT",5000784475,0,0,1,1
"247","VT",5000785150,0,0,1,1
"248","VT",5000906325,0,0,1,1
"249","VT",5000908725,0,0,1,1
"250","VT",5000910075,0,0,1,1
"251","VT",5000911800,0,0,1,1
"252","VT",5000915250,0,0,1,1
"253","VT",5000921250,0,0,1,1
"254","VT",5000929125,0,0,1,1
"255","VT",5000930775,0,0,1,1
"256","VT",5000939700,0,0,1,1
"257","VT",5000941425,0,0,1,1
"258","VT",5000942475,0,0,1,1
"259","VT",5000952750,0,0,1,1
"260","VT",5000975175,0,0,1,1
"261","VT",5001102500,0,0,1,1
"262","VT",5001105425,0,0,1,1
"263","VT",5001123875,0,0,1,1
"264","VT",5001124925,0,0,1,1
"265","VT",5001125225,0,0,1,1
"266","VT",5001126500,0,0,1,1
"267","VT",5001127100,0,0,1,1
"268","VT",5001127700,0,0,1,1
"269","VT",5001133025,0,0,1,1
"270","VT",5001145850,0,0,1,1
"271","VT",5001159125,0,0,1,1
"272","VT",5001161675,0,0,1,1
"273","VT",5001161750,0,0,1,1
"274","VT",5001164600,0,0,1,1
"275","VT",5001171725,0,0,1,1
"276","VT",5001300700,0,0,1,1
"277","VT",5001329275,0,0,1,1
"278","VT",5001335875,0,0,1,1
"279","VT",5001350650,0,0,1,1
"280","VT",5001367000,0,0,1,1
"281","VT",5001504375,0,0,1,1
"282","VT",5001511500,0,0,1,1
"283","VT",5001523500,0,0,1,1
"284","VT",5001523725,0,0,1,1
"285","VT",5001535050,0,0,1,1
"286","VT",5001537075,0,0,1,1
"287","VT",5001546675,0,0,1,1
"288","VT",5001570525,0,0,1,1
"289","VT",5001577425,0,0,1,1
"290","VT",5001585375,0,0,1,1
"291","VT",5001707375,0,0,1,1
"292","VT",5001707600,0,0,1,1
"293","VT",5001709325,0,0,1,1
"294","VT",5001713525,0,0,1,1
"295","VT",5001715700,0,0,1,1
"296","VT",5001725675,0,0,1,1
"297","VT",5001748175,0,0,1,1
"298","VT",5001753425,0,0,1,1
"299","VT",5001758075,0,0,1,1
"300","VT",5001770675,0,0,1,1
"301","VT",5001772400,0,0,1,1
"302","VT",5001773075,0,0,1,1
"303","VT",5001773675,0,0,1,1
"304","VT",5001774950,0,0,1,1
"305","VT",5001776750,0,0,1,1
"306","VT",5001779975,0,0,1,1
"307","VT",5001784175,0,0,1,1
"308","VT",5001900475,0,0,1,1
"309","VT",5001903550,0,0,1,1
"310","VT",5001909850,0,0,1,1
"311","VT",5001913150,0,0,1,1
"312","VT",5001916150,0,0,1,1
"313","VT",5001916300,0,0,1,1
"314","VT",5001917350,0,0,1,1
"315","VT",5001928075,0,0,1,1
"316","VT",5001930175,0,0,1,1
"317","VT",5001933775,0,0,1,1
"318","VT",5001935575,0,0,1,1
"319","VT",5001936325,0,0,1,1
"320","VT",5001940525,0,0,1,1
"321","VT",5001946450,0,0,1,1
"322","VT",5001948850,0,0,1,1
"323","VT",5001948925,0,0,1,1
"324","VT",5001973525,0,0,1,1
"325","VT",5001980200,0,0,1,1
"326","VT",5001981700,0,0,1,1
"327","VT",5002105200,0,0,1,1
"328","VT",5002107750,0,0,1,1
"329","VT",5002111950,0,0,1,1
"330","VT",5002114350,0,0,1,1
"331","VT",5002114500,0,0,1,1
"332","VT",5002116825,0,0,1,1
"333","VT",5002125375,0,0,1,1
"334","VT",5002134450,0,0,1,1
"335","VT",5002135425,0,0,1,1
"336","VT",5002137685,0,0,1,1
"337","VT",5002144125,0,0,1,1
"338","VT",5002144800,0,0,1,1
"339","VT",5002147200,0,0,1,1
"340","VT",5002147425,0,0,1,1
"341","VT",5002154250,0,0,1,1
"342","VT",5002155450,0,0,1,1
"343","VT",5002155600,0,0,1,1
"344","VT",5002156875,0,0,1,1
"345","VT",5002157250,0,0,1,1
"346","VT",5002161225,0,0,1,1
"347","VT",5002161300,0,0,1,1
"348","VT",5002165275,0,0,1,1
"349","VT",5002171050,0,0,1,1
"350","VT",5002172925,0,0,1,1
"351","VT",5002175925,0,0,1,1
"352","VT",5002177950,0,0,1,1
"353","VT",5002180875,0,0,1,1
"354","VT",5002182300,0,0,1,1
"355","VT",5002303175,0,0,1,1
"356","VT",5002303250,0,0,1,1
"357","VT",5002305650,0,0,1,1
"358","VT",5002311125,0,0,1,1
"359","VT",5002311350,0,0,1,1
"360","VT",5002318550,0,0,1,1
"361","VT",5002321925,0,0,1,1
"362","VT",5002325825,0,0,1,1
"363","VT",5002343600,0,0,1,1
"364","VT",5002344500,0,0,1,1
"365","VT",5002346000,0,0,1,1
"366","VT",5002346225,0,0,1,1
"367","VT",5002350275,0,0,1,1
"368","VT",5002355825,0,0,1,1
"369","VT",5002360625,0,0,1,1
"370","VT",5002375325,0,0,1,1
"371","VT",5002376525,0,0,1,1
"372","VT",5002376975,0,0,1,1
"373","VT",5002385525,0,0,1,1
"374","VT",5002386125,0,0,1,1
"375","VT",5002501900,0,0,1,1
"376","VT",5002507900,0,0,1,1
"377","VT",5002509475,0,0,1,1
"378","VT",5002517875,0,0,1,1
"379","VT",5002518325,0,0,1,1
"380","VT",5002528900,0,0,1,1
"381","VT",5002530925,0,0,1,1
"382","VT",5002531150,0,0,1,1
"383","VT",5002536175,0,0,1,1
"384","VT",5002540225,0,0,1,1
"385","VT",5002543375,0,0,1,1
"386","VT",5002548400,0,0,1,1
"387","VT",5002557700,0,0,1,1
"388","VT",5002560250,0,0,1,1
"389","VT",5002570750,0,0,1,1
"390","VT",5002573300,0,0,1,1
"391","VT",5002574800,0,0,1,1
"392","VT",5002576225,0,0,1,1
"393","VT",5002581400,0,0,1,1
"394","VT",5002583950,0,0,1,1
"395","VT",5002584700,0,0,1,1
"396","VT",5002584850,0,0,1,1
"397","VT",5002701300,0,0,1,1
"398","VT",5002702575,0,0,1,1
"399","VT",5002702725,0,0,1,1
"400","VT",5002705800,0,0,1,1
"401","VT",5002708275,0,0,1,1
"402","VT",5002712250,0,0,1,1
"403","VT",5002713675,0,0,1,1
"404","VT",5002732275,0,0,1,1
"405","VT",5002732425,0,0,1,1
"406","VT",5002741275,0,0,1,1
"407","VT",5002752900,0,0,1,1
"408","VT",5002756050,0,0,1,1
"409","VT",5002756350,0,0,1,1
"410","VT",5002758375,0,0,1,1
"411","VT",5002760100,0,0,1,1
"412","VT",5002760850,0,0,1,1
"413","VT",5002763775,0,0,1,1
"414","VT",5002769550,0,0,1,1
"415","VT",5002770375,0,0,1,1
"416","VT",5002777500,0,0,1,1
"417","VT",5002782000,0,0,1,1
"418","VT",5002783050,0,0,1,1
"419","VT",5002784925,0,0,1,1
"420","VT",5002785975,0,0,1,1
