"","Town.Name","C5f","C4a","C1g","C1h","C1f","C5b","C1c","C5a","C5e","C1e","C5o","C5o_Other","C1f_Other","C1g_Other","C1h_Other","C4b","C1a","C1b"
"1","ADDISON",6,237,17,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",6,260,243
"2","ALBANY",0,98,5,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,103,98
"3","ALBURGH",0,242,1,14,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,257,242
"4","ANDOVER",1,81,4,0,1,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",1,87,82
"5","ARLINGTON",3,282,8,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",3,293,285
"6","ATHENS",0,1,0,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,1,1
"7","BAKERSFIELD",0,101,2,0,0,1,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",1,104,102
"8","BALTIMORE",0,14,0,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,14,14
"9","BARNARD",0,98,6,0,0,0,1,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,105,98
"10","BARNET",0,179,3,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,182,179
"11","BARRE CITY",0,813,36,0,0,0,0,3,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",3,852,816
"12","BARRE TOWN",0,1164,37,0,0,0,0,6,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",6,1207,1170
"13","BARTON",4,319,0,25,0,0,1,1,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",5,350,324
"14","BELVIDERE",0,13,3,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,16,13
"15","BENNINGTON",3,1504,82,27,0,4,1,2,2,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",11,1625,1515
"16","BENSON",0,104,6,0,0,0,0,1,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",1,111,105
"17","BERKSHIRE",0,159,11,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,170,159
"18","BERLIN",5,468,14,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",5,487,473
"19","BETHEL",0,197,0,4,0,1,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",1,202,198
"20","BLOOMFIELD",0,17,3,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,20,17
"21","BOLTON",0,141,4,0,0,0,0,2,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",2,147,143
"22","BRADFORD",1,226,16,1,0,0,0,1,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",2,245,228
"23","BRAINTREE",0,106,5,0,0,3,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",3,114,109
"24","BRANDON",0,519,1,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,520,519
"25","BRATTLEBORO",7,3133,70,15,0,0,2,17,4,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",28,3248,3161
"26","BRIDGEWATER",0,111,0,0,0,0,0,3,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",3,114,114
"27","BRIDPORT",0,10,0,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,10,10
"28","BRIGHTON",0,111,0,5,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,116,111
"29","BRISTOL",1,486,3,13,0,3,0,5,1,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",10,512,496
"30","BROOKFIELD",0,223,3,0,0,0,0,1,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",1,227,224
"31","BROOKLINE",0,39,1,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,40,39
"32","BROWNINGTON",2,92,5,0,0,0,0,1,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",3,100,95
"33","BRUNSWICK",0,2,0,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,2,2
"34","BURKE",0,226,2,0,0,1,0,1,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",2,230,228
"35","BURLINGTON",72,5150,344,0,0,2,0,13,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",87,5581,5237
"36","CABOT",0,223,2,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,225,223
"37","CALAIS",0,409,1,7,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,417,409
"38","CAMBRIDGE",0,511,0,12,0,0,0,2,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",2,525,513
"39","CANAAN",0,54,2,0,0,0,0,2,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",2,58,56
"40","CASTLETON",1,410,20,0,0,0,0,5,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",6,436,416
"41","CAVENDISH",0,99,0,6,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,105,99
"42","CHARLESTON",0,122,0,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,122,122
"43","CHARLOTTE",1,927,29,0,0,0,0,4,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",5,961,932
"44","CHELSEA",0,137,1,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,138,137
"45","CHESTER",0,399,12,0,0,2,0,4,1,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",7,418,406
"46","CHITTENDEN",3,151,5,0,0,0,0,3,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",6,162,157
"47","CLARENDON",0,251,8,0,1,0,0,1,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",1,261,252
"48","COLCHESTER",4,3015,48,0,0,5,0,27,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",36,3099,3051
"49","CONCORD",2,124,2,0,0,0,0,1,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",3,129,127
"50","CORINTH",0,149,7,0,0,0,0,2,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",2,158,151
"51","CORNWALL",0,288,5,0,0,1,0,1,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",2,295,290
"52","COVENTRY",0,111,6,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,117,111
"53","CRAFTSBURY",0,187,0,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,187,187
"54","DANBY",0,255,19,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,274,255
"55","DANVILLE",3,550,13,0,0,1,0,4,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",8,571,558
"56","DERBY",0,673,28,0,0,0,0,3,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",3,704,676
"57","DORSET",2,299,16,0,0,1,0,1,1,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",5,320,304
"58","DOVER",0,197,1,6,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,204,197
"59","DUMMERSTON",0,431,6,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,437,431
"60","DUXBURY",0,149,4,0,0,1,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",1,154,150
"61","EAST HAVEN",0,43,2,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,45,43
"62","EAST MONTPELIER",0,484,14,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,498,484
"63","EDEN",0,130,4,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,134,130
"64","ELMORE",0,104,0,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,104,104
"65","ENOSBURGH",2,524,0,172,0,0,1,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",2,699,526
"66","ESSEX",16,3750,12,0,0,1,0,11,1,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",29,3791,3779
"67","FAIR HAVEN",0,224,1,0,0,0,0,1,0,12,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",1,238,237
"68","FAIRFAX",0,587,13,3,0,0,0,2,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",2,605,589
"69","FAIRFIELD",0,196,1,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,197,196
"70","FAIRLEE",0,94,4,0,0,0,0,1,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",1,99,95
"71","FAYSTON",0,260,9,3,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,272,260
"72","FERRISBURGH",0,571,14,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,585,571
"73","FLETCHER",0,221,1,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,222,221
"74","FRANKLIN",7,155,8,0,0,1,0,0,1,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",9,172,164
"75","GEORGIA",0,517,14,0,0,0,0,6,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",6,537,523
"76","GLOVER",0,165,6,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,171,165
"77","GOSHEN",0,20,0,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,20,20
"78","GRAFTON",0,100,0,1,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,101,100
"79","GRANBY",0,11,0,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,11,11
"80","GRAND ISLE",5,358,1,12,0,3,0,2,2,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",12,383,370
"81","GRANVILLE",0,29,6,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,35,29
