"","Town.Name","C5f","C4a","C1g","C1h","C1f","C5b","C1c","C5a","C5e","C1e","C5o","C5o_Other","C1f_Other","C1g_Other","C1h_Other","C4b","C1a","C1b"
"164","ROCKINGHAM",0,447,16,4,1,2,3,5,1,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",8,479,455
"165","ROXBURY",0,93,1,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,94,93
"166","ROYALTON",0,322,0,0,0,0,0,12,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",12,334,334
"167","RUPERT",0,107,5,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,112,107
"168","RUTLAND CITY",9,1492,68,0,0,2,1,8,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",19,1580,1511
"169","RUTLAND TOWN",9,514,18,0,0,1,2,5,0,0,2,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",17,551,531
"170","RYEGATE",1,72,1,0,1,0,0,0,1,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",2,76,74
"171","SALISBURY",2,120,1,0,0,0,0,1,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",3,124,123
"172","SANDGATE",0,37,1,0,1,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,39,37
"173","SEARSBURG",0,0,0,1,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,1,0
"174","SHAFTSBURY",0,419,21,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,440,419
"175","SHARON",0,130,9,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,139,130
"176","SHEFFIELD",0,58,0,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,58,58
"177","SHELBURNE",3,2508,55,0,1,1,0,6,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",10,2574,2518
"178","SHELDON",0,161,2,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,163,161
"179","SHOREHAM",0,259,3,0,0,0,0,0,1,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",1,263,260
"180","SHREWSBURY",3,166,27,0,0,0,0,1,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",4,197,170
"181","SOUTH BURLINGTON",20,3722,91,0,0,1,0,18,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",39,3852,3761
"182","SOUTH HERO",0,346,7,0,0,0,0,1,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",1,354,347
"183","SPRINGFIELD",1,861,150,0,0,1,0,4,42,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",48,1059,909
"184","ST. ALBANS CITY",0,615,30,0,6,0,11,2,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",2,664,617
"185","ST. ALBANS TOWN",1,972,2,23,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",1,998,973
"186","ST. GEORGE",0,90,6,0,0,0,3,0,1,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",1,100,91
"187","ST. JOHNSBURY",0,862,28,0,0,0,1,5,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",5,896,867
"188","STAMFORD",0,44,3,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,47,44
"189","STANNARD",0,12,1,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,13,12
"190","STARKSBORO",0,250,10,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,260,250
"191","STOCKBRIDGE",0,93,2,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,95,93
"192","STOWE",0,1044,56,0,0,0,1,2,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",2,1103,1046
"193","STRAFFORD",0,168,0,0,0,0,0,2,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",2,170,170
"194","STRATTON",3,27,1,0,0,1,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",4,32,31
"195","SUDBURY",0,80,3,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,83,80
"196","SUNDERLAND",0,117,6,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,123,117
"197","SUTTON",0,113,4,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,117,113
"198","SWANTON",1,644,15,0,0,0,0,5,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",6,665,650
"199","THETFORD",2,353,7,0,0,0,0,3,1,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",6,366,359
"200","TINMOUTH",0,53,0,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,53,53
"201","TOPSHAM",0,130,7,0,0,0,0,2,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",2,139,132
"202","TOWNSHEND",0,154,4,0,0,0,0,0,0,1,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,159,155
"203","TROY",0,176,0,14,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,190,176
"204","TUNBRIDGE",0,151,0,4,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,155,151
"205","UNDERHILL",3,663,12,0,0,0,2,3,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",6,683,669
"206","VERGENNES",1,238,10,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",1,249,239
"207","VERNON",0,336,0,0,0,0,0,4,0,1,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",4,341,341
"208","VERSHIRE",0,62,0,2,0,0,0,0,1,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",1,65,63
"209","VICTORY",0,29,0,1,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,30,29
"210","WAITSFIELD",2,333,9,0,0,0,0,4,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",6,348,339
"211","WALDEN",0,186,7,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,193,186
"212","WALLINGFORD",0,268,7,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,275,268
"213","WALTHAM",0,96,4,0,0,0,1,0,1,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",1,102,97
"214","WARDSBORO",0,87,2,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,89,87
"215","WARREN",0,345,9,3,0,0,3,3,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",3,363,348
"216","WASHINGTON",0,9,0,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,9,9
"217","WATERBURY",4,1283,16,0,0,1,0,3,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",8,1307,1291
"218","WATERFORD",0,169,4,0,0,1,0,1,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",2,175,171
"219","WATERVILLE",0,56,0,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,56,56
"220","WEATHERSFIELD",1,407,12,0,0,0,0,1,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",2,421,409
"221","WELLS",0,133,0,8,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,141,133
"222","WEST FAIRLEE",0,41,0,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,41,41
"223","WEST HAVEN",0,1,0,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,1,1
"224","WEST RUTLAND",0,170,2,7,0,0,0,4,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",4,183,174
"225","WEST WINDSOR",1,129,0,6,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",1,136,130
"226","WESTFIELD",0,80,4,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,84,80
"227","WESTFORD",0,319,18,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,337,319
"228","WESTMINSTER",0,321,6,0,0,0,0,3,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",3,330,324
"229","WESTMORE",0,68,1,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,69,68
"230","WESTON",0,120,4,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,124,120
"231","WEYBRIDGE",0,13,0,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,13,13
"232","WHEELOCK",0,64,3,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,67,64
"233","WHITING",0,23,1,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,24,23
"234","WHITINGHAM",1,100,1,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",1,102,101
"235","WILLIAMSTOWN",0,389,1,6,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,396,389
"236","WILLISTON",2,2458,5,62,0,0,0,2,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",4,2529,2462
"237","WILMINGTON",0,223,11,0,0,0,0,3,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",3,237,226
"238","WINDHAM",0,119,2,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,121,119
"239","WINDSOR",0,349,16,1,0,0,0,0,1,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",1,367,350
"240","WINHALL",1,203,7,0,0,1,0,1,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",3,213,206
"241","WINOOSKI",2,712,30,0,0,2,1,5,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",9,752,721
"242","WOLCOTT",0,207,1,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,208,207
"243","WOODBURY",0,143,0,4,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,147,143
"244","WOODFORD",0,24,3,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,27,24
"245","WOODSTOCK",1,491,12,3,0,3,0,1,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",5,511,496
"246","WORCESTER",0,151,1,0,0,0,0,2,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",2,154,153
